|mes|total_dias|total_habiles
245|2039-06-01|30|20
246|2039-07-01|31|19
247|2039-08-01|31|22
248|2039-09-01|30|22
249|2039-10-01|31|20
250|2039-11-01|30|20
251|2039-12-01|31|20
252|2040-01-01|31|21
253|2040-02-01|29|21
254|2040-03-01|31|19
255|2040-04-01|30|21
256|2040-05-01|31|21
257|2040-06-01|30|19
258|2040-07-01|31|20
259|2040-08-01|31|21
260|2040-09-01|30|20
261|2040-10-01|31|22
262|2040-11-01|30|20
263|2040-12-01|31|19
264|2041-01-01|31|21
265|2041-02-01|28|20
266|2041-03-01|31|20
267|2041-04-01|30|20
268|2041-05-01|31|22
269|2041-06-01|30|18
270|2041-07-01|31|22
271|2041-08-01|31|20
272|2041-09-01|30|21
273|2041-10-01|31|22
274|2041-11-01|30|19
275|2041-12-01|31|20
276|2042-01-01|31|21
277|2042-02-01|28|20
278|2042-03-01|31|20
279|2042-04-01|30|20
280|2042-05-01|31|20
281|2042-06-01|30|18
282|2042-07-01|31|23
283|2042-08-01|31|19
284|2042-09-01|30|22
285|2042-10-01|31|22
286|2042-11-01|30|18
287|2042-12-01|31|20
288|2043-01-01|31|20
289|2043-02-01|28|20
290|2043-03-01|31|19
291|2043-04-01|30|22
292|2043-05-01|31|19
293|2043-06-01|30|19
294|2043-07-01|31|22
295|2043-08-01|31|19
296|2043-09-01|30|22
297|2043-10-01|31|21
298|2043-11-01|30|19
299|2043-12-01|31|20
300|2044-01-01|31|19
301|2044-02-01|29|21
302|2044-03-01|31|22
303|2044-04-01|30|19
304|2044-05-01|31|21
305|2044-06-01|30|20
306|2044-07-01|31|19
307|2044-08-01|31|22
308|2044-09-01|30|22
309|2044-10-01|31|20
310|2044-11-01|30|20
311|2044-12-01|31|20
312|2045-01-01|31|21
313|2045-02-01|28|20
314|2045-03-01|31|22
315|2045-04-01|30|18
316|2045-05-01|31|21
317|2045-06-01|30|20
318|2045-07-01|31|19
319|2045-08-01|31|21
320|2045-09-01|30|21
321|2045-10-01|31|21
322|2045-11-01|30|20
323|2045-12-01|31|18
324|2046-01-01|31|21
325|2046-02-01|28|20
326|2046-03-01|31|19
327|2046-04-01|30|21
328|2046-05-01|31|20
329|2046-06-01|30|20
330|2046-07-01|31|20
331|2046-08-01|31|21
332|2046-09-01|30|20
333|2046-10-01|31|22
334|2046-11-01|30|20
335|2046-12-01|31|19
336|2047-01-01|31|21
337|2047-02-01|28|20
338|2047-03-01|31|20
339|2047-04-01|30|20
340|2047-05-01|31|21
341|2047-06-01|30|18
342|2047-07-01|31|22
343|2047-08-01|31|20
344|2047-09-01|30|21
345|2047-10-01|31|22
346|2047-11-01|30|19
347|2047-12-01|31|20
348|2048-01-01|31|21
349|2048-02-01|29|20
350|2048-03-01|31|21
351|2048-04-01|30|20
352|2048-05-01|31|19
353|2048-06-01|30|19
354|2048-07-01|31|22
355|2048-08-01|31|19
356|2048-09-01|30|22
357|2048-10-01|31|21
358|2048-11-01|30|19
359|2048-12-01|31|20
360|2049-01-01|31|19
361|2049-02-01|28|20
362|2049-03-01|31|22
363|2049-04-01|30|20
364|2049-05-01|31|20
365|2049-06-01|30|20
366|2049-07-01|31|20
367|2049-08-01|31|21
368|2049-09-01|30|22
369|2049-10-01|31|20
370|2049-11-01|30|20
371|2049-12-01|31|21
372|2050-01-01|31|20
373|2050-02-01|28|20
374|2050-03-01|31|22
375|2050-04-01|30|19
376|2050-05-01|31|21
377|2050-06-01|30|20
378|2050-07-01|31|19
379|2050-08-01|31|22
380|2050-09-01|30|22
381|2050-10-01|31|20
382|2050-11-01|30|20
383|2050-12-01|31|20
384|2051-01-01|31|22
385|2051-02-01|28|20
386|2051-03-01|31|23
387|2051-04-01|30|20
388|2051-05-01|31|23
389|2051-06-01|30|22
390|2051-07-01|31|21
391|2051-08-01|31|23
392|2051-09-01|30|21
393|2051-10-01|31|22
394|2051-11-01|30|22
395|2051-12-01|31|21
